year,distributed processing,multiprocessing
1970,2.0352669549694724e-09,9.410040746615778e-08
1971,3.0428469521837088e-09,8.946897338546478e-08
1972,5.7114191154283844e-09,9.063786047628734e-08
1973,1.3402509007371627e-08,8.893679291434506e-08
1974,2.3174194832950183e-08,8.915559033896767e-08
1975,7.449575546912359e-08,8.90133792706495e-08
1976,9.947344214999987e-08,8.890137946439478e-08
1977,1.3388828001836828e-07,9.78555324390332e-08
1978,1.7626991320542273e-07,1.1201702372025985e-07
1979,2.1251544980925375e-07,1.2128802089656737e-07
1980,2.4445881255782555e-07,1.2847800588490698e-07
1981,2.6824096112574936e-07,1.4854743771560868e-07
1982,2.520075485433283e-07,1.5812236345677126e-07
1983,2.753587519269526e-07,1.7360529065107195e-07
1984,2.8079736377354235e-07,1.7971423663506618e-07
1985,2.8605138473787e-07,1.857110934874332e-07
1986,3.023509305778914e-07,1.9445946618036813e-07
1987,3.1607658611067434e-07,2.1410398736471897e-07
1988,3.4764765034976464e-07,2.070189789752216e-07
1989,3.702600679389434e-07,2.1448465149985297e-07
1990,3.703302939227017e-07,2.1230749374418728e-07
1991,3.84348258616488e-07,2.1995778760291224e-07
1992,3.8536013643611765e-07,2.162294886634949e-07
1993,3.688520605140054e-07,2.1314522362964844e-07
1994,3.5210917254906757e-07,2.0466995514263025e-07
1995,3.2463780387713216e-07,2.051942422960045e-07
1996,3.0252452022848176e-07,2.0208263760780808e-07
1997,2.8120878019828e-07,1.9536931209326473e-07
1998,2.570309496669714e-07,1.8016020573798285e-07
1999,2.329382076433311e-07,1.7691823675899547e-07
2000,2.197482627609913e-07,1.6768137811595807e-07
2001,2.0046504646740816e-07,1.50499802081023e-07
2002,1.8363674314514356e-07,1.3510307793142472e-07
2003,1.6562508367964517e-07,1.1805253511251326e-07
2004,1.5294051739342e-07,1.0647034136874417e-07
2005,1.3413009826633372e-07,9.4916321659509e-08
2006,1.0856485589881362e-07,7.15934932925068e-08
2007,8.299575426917727e-08,5.211206196723392e-08
2008,6.484583333791047e-08,3.968720209611222e-08
2009,4.378695856693022e-08,2.7337768366513567e-08
2010,2.6110525043675026e-08,1.8352336285585935e-08
2011,1.1319790311452899e-08,9.114202725868381e-09
2012,0.0,0.0
2013,0.0,0.0
2014,0.0,0.0
2015,0.0,0.0
2016,0.0,0.0
2017,0.0,0.0
2018,0.0,0.0
2019,0.0,0.0
